auteur,dans_HAL,dans_OpenAlex
Jesús Giráldez-Cru,True,True
Jian Zuo,True,True
Jilliana Monnier,True,True
Joachim Schöpfel,True,True
Jonathan Grainger,True,True
Jordi Coll,True,True
Josep Suy,True,True
Julie Klehammer,True,True
Julie Patris,True,True
Julien Diperi,True,True
Julien Flamant,True,True
Julien Serres,True,True
Julien Zylberman,True,True
Justine Girardet,True,True
Jérémie Bousquet,True,True
Jérémie Chalopin,True,True
Jérôme Spitz,True,True
K. Graf,True,True
K. Melis,True,True
Kamel Soudani,True,True
Karim Makki,True,True
Karima El Qate,True,True
Karine Adeline,True,True
Karoliina Lehtinen,True,True
Karolina Okrasa,True,True
Kevissen Sellapillay,True,True
Khaled Frifita,True,True
Khalid Choukri,True,True
Kolja Knauer,True,True
Konstantin Usevich,True,True
Krystel Pochat,True,True
Kun He,True,True
Kunihiko Hiraishi,True,True
Kévin Perrot,True,True
Kübra Bodur,True,True
L. Caramete,True,True
L. Fusco,True,True
L. Jorda,True,True
L. Maderer,True,True
L. Nauta,True,True
Laurent Astart,True,True
Laurent Besacier,True,True
Laurent Prevot,True,True
Laurent Verrier,True,True
Laurine Bénéteau,True,True
Leonardo Brenner,True,True
Leonor Becerra,True,True
Liana Ermakova,True,True
Liang Guo,True,True
Line Jakubiec-Jamet,True,True
Lionel Almeras,True,True
Liva Ralaivola,True,True
Loic Darrieumerlou,True,True
Loïc Crombez,True,True
Loïc Lehnhoff,True,True
Loïc Paulevé,True,True
Luc Libralesso,True,True
Luce Lefeuvre,True,True
Ludovic de Rochefort,True,True
Luigi Santocanale,True,True
Lukáš Picek,True,True
Lyes Benyoucef,True,True
Léa Schamberger,True,True
Léo Berline,True,True
Léo Exibard,True,True
M. André,True,True
M. Anghinolfi,True,True
M. Ardid,True,True
M. Bendahman,True,True
M. Bissinger,True,True
M. Bouta,True,True
M. Chabab,True,True
M. Circella,True,True
M. Kadler,True,True
M. Lincetto,True,True
M. Marcelin,True,True
M. de Jong,True,True
M.C. Bouwhuis,True,True
Maciej Grabias,True,True
Magalie Ochs,True,True
Maha Mallek,True,True
Mahdi Abbasi,True,True
Majdi Saidi,True,True
Malek Senoussi,True,True
Malik Chami,True,True
Manfeng Dou,True,True
Manfred K. Warmuth,True,True
Manon Philibert,True,True
Manu Jain,True,True
Marc Brachet,True,True
Marc Garcia,True,True
Marc-Emmanuel Bellemare,True,True
Marek Hrúz,True,True
Marie-José Béguelin,True,True
Marion Poupard,True,True
Marjorie Armando,True,True
Martin Zimmermann,True,True
Martin-Pierre Schmidt,True,True
Mateu Villaret,True,True
Mathilde Noual,True,True
Matthieu Labeau,True,True
Matthieu Million,True,True
Maxence Ferrari,True,True
Maxime Hauray,True,True
Maxime Petit,True,True
Maximilien Servajean,True,True
Meriem Touat,True,True
Michal Bílek,True,True
Michał Pilipczuk,True,True
Michel Raynal,True,True
Milan Šulc,True,True
Miquel Bofill,True,True
Mitja Nikolaus,True,True
Mohamed Amine Boutiche,True,True
Mohamed Benbouzid,True,True
Mohamed Boussak,True,True
Mohamed Djemai,True,True
Mohamed Sami Cherif,True,True
Mohamed Trabelsi,True,True
Mohamed Zerrougui,True,True
Mohammed El Rhabi,True,True
Monique Melo Costa,True,True
N. El Khayati,True,True
N. K. M'Sirdi,True,True
N. Randazzo,True,True
N.R. Khan-Chowdhury,True,True
Nadia Creignou,True,True
Nadège Thirion-Moreau,True,True
Nathalie Camelin,True,True
Nathan Chometton,True,True
Nathan Guyot,True,True
Nathan Lhote,True,True
Nathanaël Eon,True,True
Nicola Olivetti,True,True
Nicola Zannone,True,True
Nicolas Baudru,True,True
Nicolas Benoit,True,True
Nicolas Hervé,True,True
Nicolas Poinsu,True,True
Nicolas Prcovic,True,True
Nicolas Thellier,True,True
Nicolas Thouvenel,True,True
Nicoletta Calzolari,True,True
Núria Gala,True,True
O. Kalekin,True,True
Odile Papini,True,True
Oihab Allal-Chérif,True,True
Olivier Adam,True,True
Olivier Van Canneyt,True,True
Omar Boucelma,True,True
Oscar Defrain,True,True
Otmane Azeroual,True,True
P. Coyle,True,True
P. Fermani,True,True
P. Gay,True,True
P. Migliozzi,True,True
P. Piattelli,True,True
P. de Jong,True,True
Partha Pakray,True,True
Pascal Lafourcade,True,True
Pascal Préa,True,True
Pascale Giraudet,True,True
Patrice Bellot,True,True
Patrick Totzke,True,True
Paul Best,True,True
Paul Villoutreix,True,True
Paweł Rychlikowski,True,True
Petru Valicov,True,True
Philip Deegan,True,True
Philippe Blache,True,True
Pierre Aboulker,True,True
Pierre Bonnet,True,True
Pierre Garreau,True,True
Pierre-Alain Duc,True,True
Pierre-Alain Reynier,True,True
Quiterie Sourget,True,True
R. Bruijn,True,True
R. Caruso,True,True
R. Cherkaoui El Moursli,True,True
R. Coniglione,True,True
R. Gozzini,True,True
R. Gracia Ruiz,True,True
R. Lahmann,True,True
R. Le Breton,True,True
R. Muller,True,True
Rabah Ammour,True,True
Rabah Iguernaissi,True,True
Rachid Outbib,True,True
Radia Hannachi,True,True
Rahul Arya,True,True
Raida Ktari,True,True
Ramzi Guetari,True,True
Randall Balestriero,True,True
Raphael Sturgis,True,True
Raphaëlle Crubillé,True,True
Renaud Fabre,True,True
René Heuzey,True,True
Ricard Marxer,True,True
Riikka Huusari,True,True
Rita Hijazi,True,True
Robert Planqué,True,True
Robin Roche,True,True
Rodrigo Hucke‐gaete,True,True
Rohit Yadav,True,True
Roland Redon,True,True
Romain Chayla,True,True
Romain Testud,True,True
Roxane Bertrand,True,True
S. Alves,True,True
S. Ardid,True,True
S. Basa,True,True
S. Biagi,True,True
S. Celli,True,True
S. Hallmann,True,True
S. Lestum,True,True
S. Loucatos,True,True
S. Molina,True,True
S. Takerkart,True,True
S.J. Tingay,True,True
Said Amari,True,True
Salomon Sickert,True,True
Samet Biricik,True,True
Samuel Granjeaud,True,True
Sana Sellami,True,True
Sandip Das,True,True
Sandra Luque,True,True
Santiago Cuervo,True,True
Sara Goggi,True,True
Sarah Bali,True,True
Sebastian Marzetti,True,True
Sebastian Miron,True,True
Seifeddine Ben Elghali,True,True
Serge Bernard,True,True
Shay Moran,True,True
Shibashis Guha,True,True
Sijie Hu,True,True
Sivaji Bandyopadhyay,True,True
Sophie Fabre,True,True
Sophie Viseur,True,True
Soufyane Benzaouia,True,True
Sougata Bose,True,True
Stefan Kahl,True,True
Stelios Piperidis,True,True
Stephane Dufau,True,True
Stephane Jacquemoud,True,True
Stephen Gwyn,True,True
Steve Kremer,True,True
Stéphane Ayache,True,True
Stéphane Grandcolas,True,True
Stéphane Huet,True,True
Stéphane Mounier,True,True
Stéphane Viollet,True,True
Sunil Arya,True,True
Susannah J Buchan,True,True
Sven Schewe,True,True
Swetali Nimje,True,True
Sylvain Bouley,True,True
Sylvain Meignier,True,True
Sylvain Sené,True,True
Sylvain Soliman,True,True
Sébastien Fournier,True,True
Sébastien Migeon,True,True
Sébastien Paris,True,True
Sébastien Ratel,True,True
